symbol,time,askclose,askhigh,asklow,askopen,bidclose,bidhigh,bidlow,bidopen,close,high,low,open
USDCAD,2025-04-16 11:00:00,1.38895,1.39033,1.38796,1.38909,1.38877,1.39011,1.38778,1.38887,1.38886,1.39022,1.38787,1.38898
USDCAD,2025-04-16 12:00:00,1.38845,1.38936,1.38743,1.38895,1.38828,1.38915,1.38726,1.38877,1.388365,1.389255,1.387345,1.38886
USDCAD,2025-04-16 13:00:00,1.38783,1.38848,1.38685,1.38845,1.38765,1.38831,1.38668,1.38828,1.38774,1.388395,1.386765,1.388365
USDCAD,2025-04-16 14:00:00,1.38998,1.39,1.38702,1.38783,1.3898,1.3898,1.38683,1.38765,1.38989,1.3899,1.386925,1.38774
USDCAD,2025-04-16 15:00:00,1.38783,1.38998,1.38773,1.38998,1.38766,1.3898,1.38754,1.3898,1.387745,1.38989,1.387635,1.38989
USDCAD,2025-04-16 16:00:00,1.38637,1.38824,1.38598,1.38783,1.38619,1.38806,1.3858,1.38766,1.38628,1.38815,1.38589,1.387745
USDCAD,2025-04-16 17:00:00,1.38579,1.38769,1.38567,1.38637,1.38558,1.38751,1.38548,1.38619,1.385685,1.3876,1.385575,1.38628
USDCAD,2025-04-16 18:00:00,1.38674,1.38715,1.38579,1.38579,1.38616,1.38652,1.38529,1.38558,1.38645,1.386835,1.38554,1.385685
USDCAD,2025-04-16 19:00:00,1.38565,1.38674,1.38563,1.38674,1.38546,1.38635,1.38541,1.38616,1.385555,1.386545,1.38552,1.38645
USDCAD,2025-04-16 20:00:00,1.38607,1.38623,1.38563,1.38565,1.38586,1.386,1.38543,1.38546,1.385965,1.386115,1.38553,1.385555
USDCAD,2025-04-16 21:00:00,1.38695,1.38701,1.38568,1.38607,1.38672,1.38681,1.38548,1.38586,1.386835,1.38691,1.38558,1.385965
USDCAD,2025-04-16 22:00:00,1.38797,1.38855,1.38692,1.38695,1.38777,1.38836,1.3867,1.38672,1.38787,1.388455,1.38681,1.386835
USDCAD,2025-04-16 23:00:00,1.3873,1.38803,1.38703,1.38797,1.38711,1.38781,1.38683,1.38777,1.387205,1.38792,1.38693,1.38787
USDCAD,2025-04-17 00:00:00,1.38882,1.38885,1.38715,1.3873,1.38861,1.38867,1.38693,1.38711,1.388715,1.38876,1.38704,1.387205
USDCAD,2025-04-17 01:00:00,1.38916,1.38931,1.38834,1.38882,1.38898,1.38911,1.38812,1.38861,1.38907,1.38921,1.38823,1.388715
USDCAD,2025-04-17 02:00:00,1.38906,1.38977,1.38868,1.38916,1.38891,1.3896,1.38849,1.38898,1.388985,1.389685,1.388585,1.38907
USDCAD,2025-04-17 03:00:00,1.38898,1.38966,1.38815,1.38906,1.38883,1.38947,1.38797,1.38891,1.388905,1.389565,1.38806,1.388985
USDCAD,2025-04-17 04:00:00,1.38725,1.38902,1.38662,1.38898,1.38707,1.38884,1.38645,1.38883,1.38716,1.38893,1.386535,1.388905
USDCAD,2025-04-17 05:00:00,1.38783,1.388,1.38691,1.38725,1.38766,1.38781,1.38675,1.38707,1.387745,1.387905,1.38683,1.38716
USDCAD,2025-04-17 06:00:00,1.3893,1.3893,1.38756,1.38783,1.3891,1.38911,1.38739,1.38766,1.3892,1.389205,1.387475,1.387745
USDCAD,2025-04-17 07:00:00,1.38946,1.38996,1.38846,1.3893,1.38927,1.38981,1.38829,1.3891,1.389365,1.389885,1.388375,1.3892
USDCAD,2025-04-17 08:00:00,1.3902,1.39074,1.38865,1.38946,1.39,1.39054,1.38847,1.38927,1.3901,1.39064,1.38856,1.389365
USDCAD,2025-04-17 09:00:00,1.3874,1.3902,1.38691,1.3902,1.3872,1.39,1.38675,1.39,1.3873,1.3901,1.38683,1.3901
USDCAD,2025-04-17 10:00:00,1.38556,1.38796,1.38553,1.3874,1.38535,1.38775,1.38534,1.3872,1.385455,1.387855,1.385435,1.3873
USDCAD,2025-04-17 11:00:00,1.38787,1.38798,1.38511,1.38556,1.38768,1.38782,1.38493,1.38535,1.387775,1.3879,1.38502,1.385455
USDCAD,2025-04-17 12:00:00,1.38578,1.38806,1.38575,1.38787,1.38561,1.38787,1.38556,1.38768,1.385695,1.387965,1.385655,1.387775
USDCAD,2025-04-17 13:00:00,1.38459,1.38622,1.38449,1.38578,1.38444,1.38603,1.38431,1.38561,1.384515,1.386125,1.3844,1.385695
USDCAD,2025-04-17 14:00:00,1.38364,1.38507,1.38352,1.38459,1.38346,1.38487,1.38334,1.38444,1.38355,1.38497,1.38343,1.384515
USDCAD,2025-04-17 15:00:00,1.38417,1.38522,1.38292,1.38364,1.38398,1.38501,1.38275,1.38346,1.384075,1.385115,1.382835,1.38355
USDCAD,2025-04-17 16:00:00,1.38414,1.38495,1.3839,1.38417,1.38398,1.38479,1.38371,1.38398,1.38406,1.38487,1.383805,1.384075
USDCAD,2025-04-17 17:00:00,1.3836,1.38429,1.3835,1.38414,1.38333,1.38409,1.38331,1.38398,1.383465,1.38419,1.383405,1.38406
USDCAD,2025-04-17 18:00:00,1.3846,1.38545,1.38351,1.3836,1.3831,1.38409,1.38308,1.38333,1.38385,1.38477,1.383295,1.383465
USDCAD,2025-04-17 19:00:00,1.38431,1.38524,1.38367,1.3846,1.38306,1.38385,1.38267,1.3831,1.383685,1.384545,1.38317,1.38385
USDCAD,2025-04-17 20:00:00,1.38485,1.38487,1.38374,1.38431,1.38414,1.38438,1.38299,1.38306,1.384495,1.384625,1.383365,1.383685
USDCAD,2025-04-17 21:00:00,1.38468,1.38582,1.38461,1.38485,1.38446,1.38473,1.38387,1.38414,1.38457,1.385275,1.38424,1.384495
USDCAD,2025-04-17 22:00:00,1.3855,1.38569,1.38463,1.38468,1.38527,1.38535,1.38441,1.38446,1.385385,1.38552,1.38452,1.38457
USDCAD,2025-04-17 23:00:00,1.38603,1.38615,1.38495,1.3855,1.38573,1.38581,1.3847,1.38527,1.38588,1.38598,1.384825,1.385385
USDCAD,2025-04-18 00:00:00,1.3861,1.38629,1.38532,1.38603,1.38591,1.38601,1.38505,1.38573,1.386005,1.38615,1.385185,1.38588
USDCAD,2025-04-18 01:00:00,1.38644,1.38665,1.38608,1.3861,1.38618,1.38634,1.38588,1.38591,1.38631,1.386495,1.38598,1.386005
USDCAD,2025-04-18 02:00:00,1.38645,1.38699,1.38621,1.38644,1.3862,1.38665,1.38598,1.38618,1.386325,1.38682,1.386095,1.38631
USDCAD,2025-04-18 03:00:00,1.3857,1.38694,1.38568,1.38645,1.38538,1.38658,1.38533,1.3862,1.38554,1.38676,1.385505,1.386325
