symbol,time,askclose,askhigh,asklow,askopen,bidclose,bidhigh,bidlow,bidopen,close,high,low,open
GBPUSD,2023-09-12 05:00:00,1.24685,1.24898,1.2464,1.24863,1.24666,1.2488,1.24623,1.24847,1.246755,1.24889,1.246315,1.24855
GBPUSD,2023-09-12 06:00:00,1.24712,1.24765,1.24658,1.24685,1.24694,1.24748,1.24638,1.24666,1.24703,1.247565,1.24648,1.246755
GBPUSD,2023-09-12 07:00:00,1.24694,1.24784,1.24642,1.24712,1.24679,1.24764,1.24626,1.24694,1.246865,1.24774,1.24634,1.24703
GBPUSD,2023-09-12 08:00:00,1.24713,1.24723,1.24606,1.24694,1.24696,1.24704,1.2459,1.24679,1.247045,1.247135,1.24598,1.246865
GBPUSD,2023-09-12 09:00:00,1.24687,1.24848,1.24606,1.24713,1.24671,1.2483,1.24588,1.24696,1.24679,1.24839,1.24597,1.247045
GBPUSD,2023-09-12 10:00:00,1.24703,1.24761,1.24621,1.24687,1.24686,1.24744,1.24602,1.24671,1.246945,1.247525,1.246115,1.24679
GBPUSD,2023-09-12 11:00:00,1.2466,1.24765,1.24648,1.24703,1.24643,1.24746,1.2463,1.24686,1.246515,1.247555,1.24639,1.246945
GBPUSD,2023-09-12 12:00:00,1.24764,1.24823,1.24654,1.2466,1.24746,1.24802,1.24639,1.24643,1.24755,1.248125,1.246465,1.246515
GBPUSD,2023-09-12 13:00:00,1.24791,1.24926,1.24763,1.24764,1.24773,1.24909,1.24744,1.24746,1.24782,1.249175,1.247535,1.24755
GBPUSD,2023-09-12 14:00:00,1.24788,1.24889,1.24773,1.24791,1.2477,1.2487,1.24754,1.24773,1.24779,1.248795,1.247635,1.24782
GBPUSD,2023-09-12 15:00:00,1.24868,1.24914,1.2477,1.24788,1.2485,1.24895,1.24751,1.2477,1.24859,1.249045,1.247605,1.24779
GBPUSD,2023-09-12 16:00:00,1.24931,1.24937,1.24855,1.24868,1.24916,1.24921,1.24839,1.2485,1.249235,1.24929,1.24847,1.24859
GBPUSD,2023-09-12 17:00:00,1.24944,1.24999,1.24914,1.24931,1.24929,1.2498,1.24894,1.24916,1.249365,1.249895,1.24904,1.249235
GBPUSD,2023-09-12 18:00:00,1.24978,1.24996,1.24933,1.24944,1.24864,1.24957,1.24836,1.24929,1.24921,1.249765,1.248845,1.249365
GBPUSD,2023-09-12 19:00:00,1.24956,1.24996,1.24926,1.24978,1.24932,1.24954,1.24864,1.24864,1.24944,1.24975,1.24895,1.24921
GBPUSD,2023-09-12 20:00:00,1.24922,1.24961,1.24917,1.24956,1.24906,1.24939,1.24899,1.24932,1.24914,1.2495,1.24908,1.24944
